,DATA,VALOR_REEMBOLSADO
587,2012-08-10,41019.77
588,2012-08-11,13283.82
589,2012-08-12,6789.59
590,2012-08-13,46983.86
591,2012-08-14,100983.29
592,2012-08-15,44773.76
593,2012-08-16,45841.13
594,2012-08-17,51226.05
595,2012-08-18,22566.88
596,2012-08-19,8599.23
597,2012-08-20,46117.47
598,2012-08-21,79263.18000000001
599,2012-08-22,59743.36
600,2012-08-23,45420.409999999996
601,2012-08-24,68558.83
602,2012-08-25,20024.16
603,2012-08-26,19885.15
604,2012-08-27,99445.21
605,2012-08-28,75087.99
606,2012-08-29,36704.11
607,2012-08-30,100414.06
608,2012-08-31,102532.56
609,2012-09-01,51176.05
610,2012-09-02,19289.24
611,2012-09-03,126331.03
612,2012-09-04,79737.18
613,2012-09-05,129144.81999999999
614,2012-09-06,47562.08
615,2012-09-07,10767.41
616,2012-09-08,17500.27
617,2012-09-09,15937.44
618,2012-09-10,83491.9
619,2012-09-11,87764.63
620,2012-09-12,70653.27
621,2012-09-13,45128.58
622,2012-09-14,50970.82
623,2012-09-15,27880.93
624,2012-09-16,16863.2
625,2012-09-17,34363.28
626,2012-09-18,56038.1
627,2012-09-19,52456.08
628,2012-09-20,62456.9
629,2012-09-21,64639.25
630,2012-09-22,15026.09
631,2012-09-23,17772.35
632,2012-09-24,61530.13
633,2012-09-25,98704.93000000001
634,2012-09-26,63219.13
635,2012-09-27,47376.14
636,2012-09-28,89427.81
637,2012-09-29,31345.85
638,2012-09-30,86766.56
639,2012-10-01,183550.65
640,2012-10-02,77367.13
641,2012-10-03,55578.06
642,2012-10-04,24649.579999999998
643,2012-10-05,82698.28
644,2012-10-06,8808.24
645,2012-10-07,11356.09
646,2012-10-08,73813.54
647,2012-10-09,98128.32
648,2012-10-10,65277.159999999996
649,2012-10-11,41796.59
650,2012-10-12,5500.71
651,2012-10-13,4833.88
652,2012-10-14,19694.97
653,2012-10-15,84445.81
654,2012-10-16,53429.07
655,2012-10-17,47215.979999999996
656,2012-10-18,49960.59
657,2012-10-19,27877.96
658,2012-10-20,5979.2
659,2012-10-21,9177.32
660,2012-10-22,63862.119999999995
661,2012-10-23,91354.61
662,2012-10-24,73749.26
663,2012-10-25,43444.61
664,2012-10-26,65011.96
665,2012-10-27,20998.17
666,2012-10-28,14134.18
667,2012-10-29,85875.91
668,2012-10-30,121392.41
669,2012-10-31,128112.06
670,2012-11-01,160457.72
671,2012-11-02,20836.56
672,2012-11-03,14325.35
673,2012-11-04,20884.95
674,2012-11-05,133265.52
675,2012-11-06,94852.36
676,2012-11-07,64857.81
677,2012-11-08,168546.51
678,2012-11-09,72126.23
679,2012-11-10,30463.61
680,2012-11-11,18305.940000000002
681,2012-11-12,80203.37
682,2012-11-13,111411.7
683,2012-11-14,66248.99
684,2012-11-15,24968.76
685,2012-11-16,24924.11
686,2012-11-17,5692.3
687,2012-11-18,24289.48
688,2012-11-19,79158.02
689,2012-11-20,90921.67
690,2012-11-21,57089.8
691,2012-11-22,62280.18
692,2012-11-23,84673.99
693,2012-11-24,15005.57
694,2012-11-25,21781.27
695,2012-11-26,133567.86
696,2012-11-27,65054.98
697,2012-11-28,85648.83
698,2012-11-29,99192.61
699,2012-11-30,149931.67
700,2012-12-01,104077.99
701,2012-12-02,23672.68
702,2012-12-03,168315.63
703,2012-12-04,139036.04
704,2012-12-05,146047.24
705,2012-12-06,98830.67
706,2012-12-07,74778.67
